rank,ratio_usd_per_100,website,name,price_usd,value,needs_check,flags,price_outlier_hint,cross_shop_median_usd,eur_per_100_from_usd,usd_to_eur_rate,fx_source,fx_timestamp
41,2.9752,StarPets,Chroma Beachy,49.09,1650,False,,True,121.09,2.5721,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
42,2.9902,LOLGA,Chroma Bauble,1016.67,34000,False,,False,1199.99,2.5851,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
43,2.9983,StarPets,Chroma Treat,68.96,2300,False,,False,151.29,2.5921,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
44,3.0000,LOLGA,Elderwood Blade,0.99,33,False,,True,3.09,2.5936,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
45,3.0000,LOLGA,Icecream,3.90,130,False,,False,7.89,2.5936,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
46,3.0113,LOLGA,Chroma Sunrise,399.00,13250,False,,False,424.99,2.6034,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
47,3.0117,StarPets,Chroma Alienbeam,722.81,24000,False,,False,1006.46,2.6037,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
48,3.0122,StarPets,Rainbow,12.35,410,False,,False,23.39,2.6041,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
49,3.0208,LOLGA,Chroma Alienbeam,725.00,24000,False,,False,1006.46,2.6116,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
50,3.0291,StarPets,Bauble,24.99,825,False,,False,44.09,2.6187,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
51,3.0504,StarPets,Soul,18.76,615,False,,False,37.84,2.6372,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
52,3.0579,StarPets,Spirit,18.50,605,False,,False,29.69,2.6436,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
53,3.0630,LOLGA,Chroma Sunset,283.33,9250,False,,False,334.99,2.6481,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
54,3.0667,StarPets,Slasher,0.46,15,False,,True,1.19,2.6512,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
55,3.0881,StarPets,Constellation,83.38,2700,False,,False,166.44,2.6698,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
56,3.1132,StarPets,Sakura,42.34,1360,False,,False,75.69,2.6915,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
57,3.1151,LOLGA,Chroma Raygun,428.33,13750,False,,False,663.63,2.6931,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
58,3.1195,StarPets,Flora,12.79,410,False,,False,25.39,2.6969,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
59,3.1250,StarPets,Chroma Slasher,1.00,32,False,,True,2.49,2.7017,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
60,3.1286,LOLGA,Chroma Blizzard,219.00,7000,False,,False,385.09,2.7047,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
61,3.1346,StarPets,Flowerwood,8.15,260,False,,True,19.89,2.7100,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
62,3.1412,StarPets,Chroma Heart Wand,133.50,4250,False,,False,257.19,2.7156,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
63,3.1456,StarPets,Raygun,56.62,1800,False,,False,121.09,2.7194,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
64,3.1519,StarPets,Chroma Sunrise,417.63,13250,False,,False,424.99,2.7249,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
65,3.1538,StarPets,Eternalcane,0.41,13,False,,True,0.99,2.7266,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
66,3.1897,LOLGA,C. Vampire's Gun,925.00,29000,False,,False,1362.49,2.7575,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
67,3.1910,StarPets,Chroma Raygun,438.76,13750,False,,False,663.63,2.7587,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
68,3.2000,StarPets,Frostsaber,0.32,10,False,,True,0.99,2.7665,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
69,3.2069,StarPets,Borealis,4.65,145,False,,False,9.14,2.7725,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
70,3.2075,Bloxxer,Chroma Sunrise,424.99,13250,False,,False,424.99,2.7730,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
71,3.2129,LOLGA,Chroma Snowcannon,249.00,7750,False,,False,412.59,2.7776,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
72,3.2214,StarPets,Alienbeam,67.65,2100,False,,False,95.52,2.7850,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
73,3.2222,StarPets,Sands,4.35,135,False,,True,10.64,2.7857,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
74,3.2321,LOLGA,Chroma Beachy,53.33,1650,False,,True,121.09,2.7943,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
75,3.2370,StarPets,Beachy,4.37,135,False,,True,10.64,2.7985,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
76,3.2406,LOLGA,Chroma Ornament,58.33,1800,False,,False,115.59,2.8016,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
77,3.2429,StarPets,Australis,4.54,140,False,,False,9.99,2.8035,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
78,3.2477,LOLGA,Vampire's Gun,63.33,1950,False,,False,104.59,2.8077,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
79,3.2558,LOLGA,Chroma Sweet,70.00,2150,False,,False,151.34,2.8147,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
80,3.2575,StarPets,Bloom,13.03,400,False,,True,30.39,2.8162,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
81,3.2593,StarPets,Chroma Gingerblade,0.88,27,False,,True,2.19,2.8177,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
82,3.2640,StarPets,Harvester,8.16,250,False,,False,16.99,2.8218,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
83,3.2868,StarPets,Flowerwood Gun,8.71,265,False,,True,19.89,2.8415,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
84,3.3200,LOLGA,Vampire's Axe,43.99,1325,False,,False,75.69,2.8702,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
85,3.3514,StarPets,Red Luger,1.24,37,False,,False,2.49,2.8973,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
86,3.3636,StarPets,Chroma Boneblade,0.74,22,False,,True,1.69,2.9080,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
